view,ligand,statistic,n_points,slope,intercept,correlation
ligand_overview,O,max,19,-0.08781721286910377,0.09417498118720442,-0.25820888856167645
ligand_overview,O,mean,19,0.04628582384540673,-0.23278990734739485,0.16223372181860427
ligand_overview,O,median,19,0.03782179638406144,-0.1930616660938079,0.1263992487979779
ligand_overview,O,min,19,0.3383828064705766,-0.9886105618207833,0.31529368428376753
ligand_overview,S,max,18,-0.09903989782147102,0.12613653254469276,-0.5154077037955098
ligand_overview,S,mean,18,0.0008346510198684384,-0.12993663587003929,0.003204681864604055
ligand_overview,S,median,18,-0.0076509650492799204,-0.0980610651196114,-0.02666902910288802
ligand_overview,S,min,18,0.18127263887064016,-0.6160933392338981,0.20643741181790917
statistic_grid,O,max,19,-0.08781721286910377,0.09417498118720442,-0.25820888856167645
statistic_grid,O,mean,19,0.04628582384540673,-0.23278990734739485,0.16223372181860427
statistic_grid,O,median,19,0.03782179638406144,-0.1930616660938079,0.1263992487979779
statistic_grid,O,min,19,0.3383828064705766,-0.9886105618207833,0.31529368428376753
statistic_grid,S,max,18,-0.09903989782147102,0.12613653254469276,-0.5154077037955098
statistic_grid,S,mean,18,0.0008346510198684384,-0.12993663587003929,0.003204681864604055
statistic_grid,S,median,18,-0.0076509650492799204,-0.0980610651196114,-0.02666902910288802
statistic_grid,S,min,18,0.18127263887064016,-0.6160933392338981,0.20643741181790917
